Date,PriceArea,AvgPrice,MinPrice,MaxPrice,PriceVolatility,HourlyRecords,PriceRange,VolatilityCategory
2025-05-28,DK1,623.990773625,314.015465,1005.670019,184.39344380784914,24,691.654554,High
2025-05-28,DK2,627.7854380833334,324.159441,1026.852981,188.43350164729466,24,702.69354,High
2025-05-29,DK1,398.62934879166664,-8.130092,739.390822,280.66803893310566,24,747.520914,Very High
2025-05-29,DK2,423.9737351666667,10.367732,739.614638,277.64549474910757,24,729.246906,Very High
2025-05-30,DK1,294.669218125,-13.649604,1041.919787,345.52224633249585,24,1055.569391,Very High
2025-05-30,DK2,175.02695745833333,-13.649604,491.609538,151.2342282145445,24,505.259142,High
2025-05-31,DK1,518.7346776666667,-98.232396,1434.849319,463.04138100103444,24,1533.0817149999998,Very High
2025-05-31,DK2,420.41526354166666,-98.232396,1434.849319,465.77626648159935,24,1533.0817149999998,Very High
2025-06-01,DK1,269.45225475,-120.012092,690.162757,307.1608098851395,24,810.174849,Very High
2025-06-01,DK2,258.5468685,-54.225476,690.237359,273.40071008884917,24,744.4628349999999,Very High
2025-06-02,DK1,579.2316640416667,82.0666,1725.26375,383.98069069748874,24,1643.19715,Very High
2025-06-02,DK2,503.5469767083334,54.83541,1521.9624,401.4723696433909,24,1467.12699,Very High
2025-06-03,DK1,431.5761964166666,-32.230656,838.071679,340.8920435114776,24,870.302335,Very High
2025-06-03,DK2,517.5121787083333,17.607488,991.614958,350.29510062133375,24,974.00747,Very High
2025-06-04,DK1,547.6561293333333,72.286431,1035.58337,262.10467238618827,24,963.2969390000001,Very High
2025-06-04,DK2,490.31436625,72.286431,1438.64176,388.21050190410796,24,1366.355329,Very High
2025-06-05,DK1,555.8931022916667,52.741493,915.553549,242.89366434686218,24,862.812056,Very High
2025-06-05,DK2,598.0042278750001,52.293899,1017.604989,270.3032990150324,24,965.31109,Very High
2025-06-06,DK1,375.2874455833333,-9.921135,964.438703,323.77763814151655,24,974.3598380000001,Very High
2025-06-06,DK2,357.98451345833337,-6.937335,964.513372,315.3564375808295,24,971.450707,Very High
2025-06-07,DK1,445.5745830833334,-3.43137,822.484485,290.63443489441244,24,825.915855,Very High
2025-06-07,DK2,445.47512125000003,-3.43137,822.559043,290.46985611716025,24,825.990413,Very High
2025-06-08,DK1,242.63266962499998,-3.87894,699.99945,256.39612644753214,24,703.8783900000001,Very High
2025-06-08,DK2,244.67159854166667,-3.58056,692.912948,251.352222385694,24,696.493508,Very High
2025-06-09,DK1,259.820599,-37.968855,1107.138975,386.48588269471276,24,1145.1078300000001,Very High
2025-06-09,DK2,261.73831320833335,-25.06392,1107.213533,381.51377091110606,24,1132.2774530000002,Very High
2025-06-10,DK1,457.73659995833333,118.160064,730.593239,192.76700759870604,24,612.433175,High
2025-06-10,DK2,458.05984920833333,118.160064,730.593239,192.77544825179186,24,612.433175,High
2025-06-11,DK1,528.3560252083333,-14.396063,1554.327295,420.17913406591254,24,1568.723358,Very High
2025-06-11,DK2,531.2153462916666,1.864775,1614.447619,423.6858913314223,24,1612.582844,Very High
2025-06-12,DK1,468.28876125000005,-19.767675,984.654,352.1793679849454,24,1004.421675,Very High
2025-06-12,DK2,468.95079375,0.0,984.728558,351.6387574054722,24,984.728558,Very High
2025-06-13,DK1,380.64654329166666,-3.505542,814.479098,275.4812752423381,24,817.98464,Very High
2025-06-13,DK2,384.18005754166666,-1.86465,814.553699,276.5960206333819,24,816.418349,Very High
2025-06-14,DK1,334.62386829166667,-159.61404,895.777845,364.85182246214407,24,1055.391885,Very High
2025-06-14,DK2,322.92319570833337,-159.091938,887.648001,351.76326970335253,24,1046.739939,Very High
2025-06-15,DK1,462.0944533333333,-41.842746,1010.118146,364.52953093570966,24,1051.960892,Very High
2025-06-15,DK2,452.845786625,-41.842746,1010.118146,359.14059173065414,24,1051.960892,Very High
2025-06-16,DK1,547.144857875,0.0,946.283706,324.3560988054062,24,946.283706,Very High
2025-06-16,DK2,442.47664304166665,9.69553,788.470339,255.07614526781896,24,778.774809,Very High
2025-06-17,DK1,553.3865120833333,-19.09376,1151.07032,392.92181489010454,24,1170.16408,Very High
2025-06-17,DK2,459.65492112500004,-12.455695,1151.07032,376.4319800285204,24,1163.5260150000001,Very High
2025-06-18,DK1,525.8615449583334,-2.23755,898.003415,349.49625725957634,24,900.2409650000001,Very High
