HourUTC,HourDK,PriceArea,SpotPriceDKK,SpotPriceEUR,Date,Hour,DayOfWeek,IsWeekend,Month,Season,HeatingDemandPeriod,CHPOptimalHour,ElectricityPriceLevel
2025-06-26T21:00:00,2025-06-26 23:00:00,DK1,725.374714,97.230003,2025-06-26,23,Thursday,False,6,Summer,Low Demand,Off-Peak,High
2025-06-26T21:00:00,2025-06-26 23:00:00,DK2,725.374714,97.230003,2025-06-26,23,Thursday,False,6,Summer,Low Demand,Off-Peak,High
2025-06-26T20:00:00,2025-06-26 22:00:00,DK1,810.497849,108.639999,2025-06-26,22,Thursday,False,6,Summer,High Demand,Off-Peak,High
2025-06-26T20:00:00,2025-06-26 22:00:00,DK2,810.572475,108.650002,2025-06-26,22,Thursday,False,6,Summer,High Demand,Off-Peak,High
2025-06-26T19:00:00,2025-06-26 21:00:00,DK1,746.04,100.0,2025-06-26,21,Thursday,False,6,Summer,High Demand,Off-Peak,High
2025-06-26T19:00:00,2025-06-26 21:00:00,DK2,746.114619,100.010002,2025-06-26,21,Thursday,False,6,Summer,High Demand,Off-Peak,High
2025-06-26T18:00:00,2025-06-26 20:00:00,DK1,739.624049,99.139999,2025-06-26,20,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T18:00:00,2025-06-26 20:00:00,DK2,739.698675,99.150002,2025-06-26,20,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T17:00:00,2025-06-26 19:00:00,DK1,700.904558,93.949997,2025-06-26,19,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T17:00:00,2025-06-26 19:00:00,DK2,700.904558,93.949997,2025-06-26,19,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T16:00:00,2025-06-26 18:00:00,DK1,665.691514,89.230003,2025-06-26,18,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T16:00:00,2025-06-26 18:00:00,DK2,514.394558,68.949997,2025-06-26,18,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,Medium
2025-06-26T15:00:00,2025-06-26 17:00:00,DK1,524.466142,70.300003,2025-06-26,17,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,Medium
2025-06-26T15:00:00,2025-06-26 17:00:00,DK2,675.688428,90.57,2025-06-26,17,Thursday,False,6,Summer,High Demand,Peak Price - CHP Optimal,High
2025-06-26T14:00:00,2025-06-26 16:00:00,DK1,470.303623,63.040001,2025-06-26,16,Thursday,False,6,Summer,Medium Demand,Off-Peak,Medium
